Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
2313.0,1296.0,141.0,DL,ATL,HOU,1,0
6948.0,360.0,146.0,OO,COS,ORD,4,0
1247.0,1170.0,143.0,B6,BOS,CLT,3,0
31.0,1410.0,344.0,US,OGG,PHX,6,0
563.0,692.0,98.0,FL,BMI,ATL,4,0
3692.0,580.0,60.0,WN,MSY,BHM,4,0
1135.0,690.0,239.0,CO,EWR,DFW,4,0
1300.0,1210.0,80.0,AA,DFW,MEM,3,0
587.0,1295.0,105.0,FL,BWI,GRR,7,0
764.0,530.0,108.0,FL,ATL,PBI,3,0
1147.0,1103.0,121.0,FL,CRW,MCO,4,0
1440.0,951.0,79.0,B6,LGB,SFO,7,0
6605.0,1215.0,102.0,OO,BIS,DEN,4,0
2670.0,1189.0,110.0,YV,CLT,MEM,4,0
1015.0,615.0,142.0,US,IAH,CLT,4,0
7032.0,771.0,70.0,OO,LAX,YUM,2,0
138.0,948.0,116.0,FL,JAX,BWI,5,0
5411.0,966.0,134.0,EV,ATL,HPN,7,0
2517.0,1160.0,127.0,XE,SAV,EWR,4,0
3721.0,750.0,119.0,9E,CLE,JFK,1,0
443.0,693.0,193.0,FL,FLL,MKE,4,0
1689.0,720.0,85.0,WN,SAN,OAK,6,0
2495.0,790.0,110.0,XE,BHM,IAH,3,0
2915.0,865.0,64.0,XE,ROC,CLE,7,0
6304.0,855.0,88.0,OH,DTW,SYR,3,0
969.0,971.0,46.0,UA,STT,SJU,6,0
1068.0,1105.0,205.0,B6,AUS,JFK,5,0
6723.0,945.0,82.0,OH,DCA,BDL,6,0
567.0,599.0,246.0,US,PHX,MCO,4,0
3005.0,1350.0,45.0,MQ,LAX,SAN,4,0
1578.0,740.0,120.0,DL,EYW,ATL,1,0
663.0,502.0,254.0,UA,DCA,DEN,5,0
1048.0,835.0,141.0,US,DFW,CLT,1,0
1214.0,600.0,117.0,US,CLT,DTW,4,0
2251.0,368.0,118.0,XE,IND,EWR,1,0
2773.0,520.0,67.0,YV,PHX,PSP,6,0
6321.0,820.0,100.0,OH,JFK,DCA,7,0
536.0,421.0,132.0,UA,ORD,LGA,1,0
1155.0,825.0,169.0,CO,PBI,EWR,6,0
2452.0,735.0,169.0,XE,EWR,STL,3,0
